==40419== NVPROF is profiling process 40419, command: ./p2p
==40419== Profiling application: ./p2p
==40419== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,3.264000,1,3.264000,3.264000,3.264000,"[CUDA memcpy PtoP]"
"API calls",100.000000,96.213000,1,96.213000,96.213000,96.213000,"cudaMemcpyPeer"
==40419== Metric result:
"Device","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)",1,"nvlink_total_data_transmitted (4 instances)","NVLink Total Data Transmitted",,,4512,240,240,240
"Tesla P100-SXM2-16GB (0)",1,"nvlink_total_data_received (4 instances)","NVLink Total Data Received",,,912,160,160,160
"Tesla P100-SXM2-16GB (0)",1,"nvlink_transmit_throughput (4 instances)","NVLink Transmit Throughput",,,17.393572MB/s,947.394531KB/s,947.394531KB/s,947.394531KB/s
"Tesla P100-SXM2-16GB (0)",1,"nvlink_receive_throughput (4 instances)","NVLink Receive Throughput",,,3.515721MB/s,631.595703KB/s,631.595703KB/s,631.595703KB/s
