==43365== NVPROF is profiling process 43365, command: ./p2p
==43365== Profiling application: ./p2p
==43365== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,2.336000,1,2.336000,2.336000,2.336000,"[CUDA memcpy PtoP]"
"API calls",100.000000,39.324000,1,39.324000,39.324000,39.324000,"cudaMemcpyPeer"
==43365== Metric result:
"Device","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)",1,"nvlink_total_data_transmitted (4 instances)","NVLink Total Data Transmitted",,,4512,240,240,240
"Tesla P100-SXM2-16GB (0)",1,"nvlink_total_data_received (4 instances)","NVLink Total Data Received",,,960,160,160,160
"Tesla P100-SXM2-16GB (0)",1,"nvlink_transmit_throughput (4 instances)","NVLink Transmit Throughput",,,26.224721MB/s,1.394932MB/s,1.394932MB/s,1.394932MB/s
"Tesla P100-SXM2-16GB (0)",1,"nvlink_receive_throughput (4 instances)","NVLink Receive Throughput",,,5.579727MB/s,952.273438KB/s,952.273438KB/s,952.273438KB/s
